drawdate,n1,n2,n3,n4,n5,prize_5,prize_4,prize_3
12/31/2012,6,17,23,31,37,0,335.5,12
12/30/2012,9,10,27,32,39,0,233.5,12.5
12/29/2012,2,4,10,24,40,1000000,244.5,10
12/28/2012,1,3,31,41,43,0,269.5,13
12/27/2012,8,9,11,12,33,0,174,8.5
12/26/2012,15,16,23,36,42,0,338,14
12/25/2012,13,24,28,30,37,0,345.5,12
12/24/2012,2,9,25,40,43,0,429,14.5
12/23/2012,3,5,17,19,28,700000,147.5,8
12/22/2012,15,17,21,38,40,0,343.5,13
12/21/2012,28,36,39,41,43,0,321.5,14.5
12/20/2012,19,23,34,41,42,0,388,15
12/19/2012,3,4,17,19,39,0,212.5,9.5
12/18/2012,5,11,25,26,35,325000,184,9.5
12/17/2012,4,17,19,28,35,0,271,10
12/16/2012,13,16,20,34,41,0,436.5,17
12/15/2012,15,30,31,34,39,225000,382,14.5
12/14/2012,3,13,29,37,43,0,253.5,11.5
12/13/2012,1,8,24,28,29,125000,200.5,9
12/12/2012,20,25,29,32,42,225000,308.5,14.5
12/11/2012,5,8,12,33,39,0,217.5,9
12/10/2012,15,17,22,29,36,325000,252.5,11.5
12/9/2012,24,34,38,40,41,0,336,15.5
12/8/2012,21,22,31,33,37,0,329,13.5
12/7/2012,16,22,26,31,32,325000,294.5,13.5
12/6/2012,4,5,16,20,22,0,180,8.5
12/5/2012,1,6,20,21,27,0,209,9.5
12/4/2012,2,10,20,26,43,500000,258.5,11
12/3/2012,5,15,19,20,32,0,220,9.5
12/2/2012,1,17,20,29,36,0,219.5,12.5
12/1/2012,2,9,14,17,18,0,169.5,8.5
11/30/2012,12,26,29,40,41,549266,306.5,14
11/29/2012,15,17,21,26,35,0,273,12
11/28/2012,13,21,24,25,33,0,220.5,10.5
11/27/2012,1,19,28,31,40,0,351,13.5
11/26/2012,5,12,22,23,24,1004321,172,9
11/25/2012,11,13,22,35,39,0,230.5,11.5
11/24/2012,7,26,29,31,35,0,380.5,12
11/23/2012,19,28,30,35,38,0,344,12.5
11/22/2012,9,18,34,36,39,0,330.5,13
11/21/2012,8,9,11,26,42,0,299,10
11/20/2012,5,7,9,20,35,325000,197.5,9
11/19/2012,13,17,27,29,43,0,289,11
11/18/2012,3,26,34,39,42,0,381,16.5
11/17/2012,5,19,22,31,41,330164,273.5,12
11/16/2012,5,18,19,20,37,0,279.5,11
11/15/2012,5,10,24,31,39,0,221,10
11/14/2012,13,20,22,27,38,225000,283,11.5
11/13/2012,10,12,18,26,28,0,144,8
11/12/2012,8,22,29,31,36,325000,227,12
11/11/2012,9,14,19,21,32,0,277,10
11/10/2012,7,8,13,19,24,0,147.5,7
11/9/2012,8,21,22,34,42,225000,302,13
11/8/2012,8,14,23,24,33,0,178.5,9
11/7/2012,5,19,22,24,29,225000,157.5,9
11/6/2012,1,5,8,14,43,0,271.5,9.5
11/5/2012,21,28,35,36,37,338863,360.5,13
11/4/2012,14,23,30,32,34,0,283.5,12.5
11/3/2012,2,5,32,34,43,0,369,14.5
11/2/2012,10,16,23,28,43,225000,305,11.5
11/1/2012,3,8,30,34,41,0,284,13.5
10/31/2012,8,9,35,36,41,325000,289.5,14.5
10/30/2012,8,22,30,33,35,0,326,12
10/29/2012,13,23,39,40,43,0,350.5,14
10/28/2012,17,24,33,40,41,500000,312.5,13
10/27/2012,7,13,15,30,42,0,359.5,11.5
10/26/2012,3,4,10,18,37,0,252.5,9.5
10/25/2012,4,18,28,39,42,0,245.5,13.5
10/24/2012,5,9,17,24,35,700000,189.5,9.5
10/23/2012,8,9,18,25,43,0,271,11
10/22/2012,5,8,9,10,15,0,104.5,6.5
10/21/2012,5,21,26,32,39,0,410.5,13
10/20/2012,29,33,38,39,40,0,381,15
10/19/2012,1,13,22,27,30,500000,242.5,10
10/18/2012,3,16,19,34,36,0,299.5,13
10/17/2012,10,15,17,18,40,0,269.5,12.5
10/16/2012,3,9,21,26,42,0,246.5,11
10/15/2012,2,7,22,34,41,325000,339.5,12
10/14/2012,8,9,12,20,23,0,179.5,7.5
10/13/2012,6,8,17,20,37,0,229,10.5
10/12/2012,11,19,23,38,41,225000,291,12.5
10/11/2012,4,10,15,22,35,0,342,10.5
10/10/2012,6,13,17,34,36,125000,241.5,12
10/9/2012,12,22,32,34,43,701930,279.5,12
10/8/2012,14,18,26,31,32,0,285.5,12.5
10/7/2012,4,13,28,30,40,0,232.5,12
10/6/2012,13,14,19,20,32,0,247.5,12
10/5/2012,12,16,19,30,37,0,331.5,11.5
10/4/2012,14,27,37,40,42,125000,351.5,16
10/3/2012,6,12,14,37,41,730516,311.5,12.5
10/2/2012,1,4,15,18,40,0,286,11.5
10/1/2012,5,6,13,17,23,0,166.5,8.5
9/30/2012,17,20,23,26,35,0,299,12
9/29/2012,6,19,22,35,36,0,255,13
9/28/2012,9,10,14,22,33,504277,221.5,10
9/27/2012,7,19,21,32,42,0,264.5,11.5
9/26/2012,1,5,14,15,36,0,216.5,10.5
9/25/2012,18,28,31,35,37,0,383,13.5
9/24/2012,2,13,20,41,42,1000000,325,13
9/23/2012,5,12,18,22,38,0,202,9.5
9/22/2012,3,4,7,20,31,0,211.5,9
9/21/2012,12,18,22,34,42,0,307,12
9/20/2012,19,24,28,34,41,0,299.5,13
9/19/2012,4,11,21,27,31,0,153,8.5
9/18/2012,4,13,20,40,41,1000000,278.5,13
9/17/2012,24,28,37,40,42,0,309,13.5
9/16/2012,2,4,23,28,33,0,216.5,10
9/15/2012,1,5,13,25,29,0,175.5,8.5
9/14/2012,23,27,28,36,41,0,450,14.5
9/13/2012,2,10,24,30,41,0,286.5,11
9/12/2012,2,3,19,22,24,728769,190.5,9.5
9/11/2012,7,31,33,34,39,0,242,12
9/10/2012,4,7,26,38,43,0,319,12.5
9/9/2012,16,29,38,39,42,0,319.5,15.5
9/8/2012,28,32,36,37,40,0,367.5,16
9/7/2012,3,13,21,24,31,1042372,187.5,9.5
9/6/2012,1,3,11,29,35,0,262.5,10
9/5/2012,3,6,15,16,37,0,249.5,11.5
9/4/2012,8,18,33,38,41,0,280,13
9/3/2012,3,7,14,31,37,0,280,10
9/2/2012,8,15,26,28,30,0,191.5,9.5
9/1/2012,6,8,22,27,42,534928,245,11.5
8/31/2012,10,12,18,20,34,0,211.5,10
8/30/2012,7,20,22,40,42,0,298.5,14
8/29/2012,11,33,36,41,42,0,353.5,16.5
8/28/2012,11,14,19,37,41,1100000,295.5,12.5
8/27/2012,1,20,22,37,43,0,277.5,13
8/26/2012,23,24,25,39,41,0,373,13.5
8/25/2012,13,19,24,34,38,0,255.5,12
8/24/2012,5,18,29,32,33,0,289,11.5
8/23/2012,17,18,29,38,42,0,454,14.5
8/22/2012,5,6,26,32,36,494280,270.5,12.5
8/21/2012,10,12,18,30,36,0,203,10
8/20/2012,14,22,27,35,38,0,331.5,13.5
8/19/2012,3,18,24,28,41,0,283,11.5
8/18/2012,1,12,24,34,40,125000,324.5,13.5
8/17/2012,4,10,32,34,41,125000,398,15.5
8/16/2012,2,5,10,15,24,225000,106,6.5
8/15/2012,2,7,16,18,41,0,277.5,11.5
8/14/2012,5,7,23,35,43,496018,192,11
8/13/2012,1,8,23,27,32,0,270,10.5
8/12/2012,15,20,23,29,43,0,304.5,13
8/11/2012,8,17,29,35,39,0,281.5,11.5
8/10/2012,6,11,18,30,31,1466221,213,10.5
8/9/2012,2,10,15,20,30,0,148,9
8/8/2012,3,5,31,40,42,0,317.5,13
8/7/2012,15,17,21,35,39,0,270.5,12
8/6/2012,2,11,20,29,33,0,231.5,10
8/5/2012,6,17,37,38,43,0,472,14.5
8/4/2012,5,7,24,32,43,0,276.5,11
8/3/2012,10,12,13,30,39,125000,282,10.5
8/2/2012,8,12,34,36,42,502727,307.5,13
8/1/2012,3,25,28,35,41,0,316.5,13.5
7/31/2012,2,3,20,23,33,0,220.5,9.5
7/30/2012,2,22,27,30,33,0,393.5,11
7/29/2012,8,13,21,23,39,325000,223,9.5
7/28/2012,4,9,13,15,43,0,279,10.5
7/27/2012,19,24,28,39,41,0,418,14
7/26/2012,7,9,17,22,41,125000,251.5,10
7/25/2012,21,22,29,38,41,1308159,308,12.5
7/24/2012,15,34,38,40,42,0,286,14
7/23/2012,2,22,24,34,40,0,296.5,12.5
7/22/2012,5,16,38,40,41,0,310,15
7/21/2012,2,5,22,23,29,0,165,9
7/20/2012,11,23,33,40,41,0,485,14.5
7/19/2012,11,26,27,33,37,0,359,12
7/18/2012,3,6,26,28,36,125000,249.5,10.5
7/17/2012,14,16,27,28,30,325000,241,11
7/16/2012,18,23,27,36,42,0,303.5,14
7/15/2012,8,9,20,33,40,0,471.5,13.5
7/14/2012,17,22,32,37,42,495717,283,13.5
7/13/2012,12,20,29,35,37,0,263,12.5
7/12/2012,10,14,16,29,39,0,254.5,11
7/11/2012,8,9,14,18,35,0,317,10
7/10/2012,1,12,13,30,33,125000,243,10
7/9/2012,1,5,14,17,27,457592,168.5,8.5
7/8/2012,7,19,28,30,34,0,257.5,10.5
7/7/2012,3,5,21,25,34,0,226.5,10
7/6/2012,29,32,33,34,42,0,490,16
7/5/2012,3,10,20,36,43,458682,342,12.5
7/4/2012,1,8,31,32,34,0,368.5,13
7/3/2012,1,5,10,24,43,0,252.5,9.5
7/2/2012,2,5,26,30,40,0,288.5,12
7/1/2012,4,15,19,20,30,125000,305,9
6/30/2012,8,14,21,22,29,325000,207.5,9.5
6/29/2012,3,8,11,24,28,0,120.5,7
6/28/2012,3,23,25,37,42,0,417,13.5
6/27/2012,5,17,32,39,42,468613,275,13
6/26/2012,10,24,27,37,39,0,270,12
6/25/2012,7,18,26,29,39,0,251.5,11
6/24/2012,2,6,11,32,37,0,292,11.5
6/23/2012,2,8,14,24,41,125000,207.5,10.5
6/22/2012,4,10,19,24,38,125000,231.5,9.5
6/21/2012,19,30,32,34,40,721969,305.5,13.5
6/20/2012,8,9,26,36,37,0,350,13
6/19/2012,2,6,38,41,43,0,337,15
6/18/2012,2,5,19,22,43,0,218.5,10
6/17/2012,2,10,21,22,30,0,181,9
6/16/2012,12,13,15,34,36,751080,317.5,12.5
6/15/2012,10,20,27,42,43,0,331.5,13
6/14/2012,7,9,14,25,32,0,231,10
6/13/2012,13,15,33,36,42,0,344,15
6/12/2012,1,14,17,20,28,0,187,9.5
6/11/2012,15,17,19,25,30,1422602,220,10.5
6/10/2012,2,5,21,26,33,0,260,10.5
6/9/2012,3,13,20,35,37,0,293,12
6/8/2012,10,12,24,37,39,0,224.5,11
6/7/2012,9,15,20,27,35,0,242.5,11
6/6/2012,13,17,22,32,40,0,284,13.5
6/5/2012,1,2,12,20,33,0,211.5,9.5
6/4/2012,8,28,31,37,38,502114,324,12
6/3/2012,11,20,25,26,40,0,337,13
6/2/2012,3,21,25,35,39,0,240,12.5
6/1/2012,3,4,30,34,39,0,311,13.5
5/31/2012,1,7,11,12,24,225000,100,6
5/30/2012,6,7,16,29,40,0,299.5,13
5/29/2012,19,20,25,39,42,125000,289.5,16
5/28/2012,3,5,8,32,41,1284141,293,11
5/27/2012,2,3,24,28,34,0,281.5,11
5/26/2012,2,29,37,38,41,0,308.5,13.5
5/25/2012,5,13,15,28,40,0,262.5,11
5/24/2012,1,4,9,22,36,0,194,10
5/23/2012,10,15,16,18,37,0,325,12
5/22/2012,13,29,35,39,42,0,463.5,15
5/21/2012,11,26,31,33,43,225000,354,13
5/20/2012,5,15,19,26,40,0,251.5,11
5/19/2012,2,7,8,14,31,495241,165.5,9
5/18/2012,17,25,26,29,32,0,319,12
5/17/2012,8,14,23,27,35,0,245.5,10.5
5/16/2012,33,34,35,40,43,0,344.5,16
5/15/2012,13,17,21,25,41,325000,278.5,11.5
5/14/2012,9,17,26,32,41,0,263.5,14
5/13/2012,6,24,28,32,41,0,316,15
5/12/2012,3,24,30,31,33,225000,217,10.5
5/11/2012,3,7,17,39,43,0,281,10.5
5/10/2012,6,8,11,18,31,325000,184,8.5
5/9/2012,17,18,38,41,43,0,347.5,15.5
5/8/2012,18,27,28,32,33,0,306.5,13
5/7/2012,11,16,22,24,29,125000,191.5,9
5/6/2012,2,13,16,35,43,225000,349,14.5
5/5/2012,15,24,33,42,43,0,294.5,15.5
5/4/2012,3,6,20,32,40,754704,319,12.5
5/3/2012,1,12,14,18,21,0,187,9.5
5/2/2012,12,17,27,29,39,0,224,10
5/1/2012,22,24,28,29,35,0,309.5,13
4/30/2012,3,14,17,38,42,0,355.5,13.5
4/29/2012,19,20,21,24,26,225000,244.5,10.5
4/28/2012,6,31,33,37,40,0,531,16
4/27/2012,12,14,36,37,38,332674,320.5,13.5
4/26/2012,5,20,23,26,41,0,280.5,12
4/25/2012,18,19,22,27,36,0,279.5,12
4/24/2012,8,18,21,34,41,325000,315,13.5
4/23/2012,7,12,25,29,42,0,255.5,11
4/22/2012,2,10,12,19,34,0,159,8
4/21/2012,16,23,29,30,33,330214,307.5,11.5
4/20/2012,16,17,23,38,40,0,372.5,14.5
4/19/2012,1,3,19,36,42,0,328.5,13.5
4/18/2012,1,6,16,30,39,494187,247,11.5
4/17/2012,3,6,13,28,39,0,211,9.5
4/16/2012,3,6,13,36,42,0,329,12.5
4/15/2012,5,7,33,39,42,0,288,12.5
4/14/2012,8,11,14,23,42,125000,246.5,10
4/13/2012,6,16,19,22,35,125000,314,11.5
4/12/2012,3,19,32,33,41,529529,311,13
4/11/2012,10,14,15,30,43,0,307.5,12
4/10/2012,3,5,14,30,33,0,256,9.5
4/9/2012,3,5,23,37,43,0,313,11
4/8/2012,4,5,9,25,30,125000,153,7
4/7/2012,3,6,9,15,16,538650,155.5,8.5
4/6/2012,3,10,12,14,42,0,294,10.5
4/5/2012,6,14,34,35,37,0,367.5,14
4/4/2012,26,27,34,40,43,0,437.5,17
4/3/2012,8,10,26,29,33,495527,268.5,10.5
4/2/2012,3,7,18,20,26,0,174.5,9
4/1/2012,2,8,24,30,39,0,265,10.5
3/31/2012,2,8,11,18,41,0,217,10
3/30/2012,1,6,19,31,37,349654,325.5,12
3/29/2012,2,13,24,29,37,0,274,11.5
3/28/2012,1,4,11,14,36,0,192.5,9.5
3/27/2012,3,13,22,25,36,327947,232,11
3/26/2012,11,15,20,30,31,0,233,10
3/25/2012,6,15,32,34,38,0,303,16
3/24/2012,6,18,22,27,33,225000,251,11
3/23/2012,2,6,14,22,34,0,202,10.5
3/22/2012,7,11,17,23,37,493578,127.5,8
3/21/2012,7,9,12,16,27,0,161,7.5
3/20/2012,1,3,11,20,34,0,283.5,10
3/19/2012,1,21,23,27,43,0,350,12
3/18/2012,5,9,13,33,35,325000,242.5,9.5
3/17/2012,4,15,19,28,38,0,232,10.5
3/16/2012,11,15,16,19,23,0,213,8.5
3/15/2012,2,7,17,31,32,1115640,256.5,10.5
3/14/2012,3,4,12,13,41,0,266.5,11
3/13/2012,19,21,24,31,36,0,293,11.5
3/12/2012,11,17,22,36,38,0,278.5,12
3/11/2012,5,11,12,27,30,0,142,7
3/10/2012,4,15,20,27,30,0,236,9.5
3/9/2012,12,16,18,28,36,520998,243.5,11
3/8/2012,4,21,31,33,43,0,310.5,12.5
3/7/2012,4,7,13,32,34,0,318.5,11
3/6/2012,15,16,19,25,36,0,292.5,12.5
3/5/2012,5,9,23,40,43,125000,328,12
3/4/2012,1,4,16,17,31,125000,188.5,9.5
3/3/2012,14,18,29,38,39,341914,321,12.5
3/2/2012,11,26,29,32,39,0,316,13
3/1/2012,9,25,32,35,42,0,392.5,15
2/29/2012,2,8,11,18,29,225000,127,7.5
2/28/2012,3,10,34,39,40,0,478,15.5
2/27/2012,13,20,22,29,33,325000,244,11
2/26/2012,4,16,25,28,29,0,201.5,9.5
2/25/2012,14,18,21,23,41,0,264,13
2/24/2012,7,8,15,29,33,125000,289,10
2/23/2012,2,11,14,21,23,225000,173,8
2/22/2012,4,15,28,42,43,0,373.5,14.5
2/21/2012,12,25,28,38,41,500132,255,12.5
2/20/2012,3,8,16,26,34,0,224.5,10.5
2/19/2012,2,19,28,33,34,0,314.5,12
2/18/2012,4,21,28,36,42,0,364.5,14
2/17/2012,1,13,25,36,41,125000,251,14.5
2/16/2012,4,23,24,33,34,225000,272,12
2/15/2012,4,25,29,30,33,0,281,11.5
2/14/2012,24,29,31,32,33,225000,306.5,14
2/13/2012,1,5,14,19,23,0,143,7.5
2/12/2012,10,13,15,29,39,225000,208.5,10.5
2/11/2012,3,10,22,23,34,0,211.5,10
2/10/2012,8,15,20,22,37,347547,255.5,11.5
2/9/2012,9,11,16,24,36,0,241,10
2/8/2012,12,19,32,40,42,0,319.5,14
2/7/2012,15,20,27,35,36,513678,309,13
2/6/2012,7,11,23,25,27,0,135,7.5
2/5/2012,7,10,14,38,42,0,328.5,12.5
2/4/2012,10,17,19,23,34,0,204.5,9.5
2/3/2012,7,8,31,41,43,340631,319,14
2/2/2012,11,14,19,24,40,0,316,11
2/1/2012,6,9,21,33,43,0,192.5,11
1/31/2012,1,7,8,11,24,325001,129.5,7
1/30/2012,12,13,17,34,37,0,304.5,12
1/29/2012,16,26,33,41,43,0,444.5,18
1/28/2012,1,6,16,21,39,125000,176.5,11.5
1/27/2012,14,23,25,33,43,330000,289,12
1/26/2012,12,13,15,34,36,0,311,14
1/25/2012,4,6,12,13,23,0,149,7
1/24/2012,6,20,33,35,39,727647,299.5,13
1/23/2012,5,16,20,31,37,0,340.5,12
1/22/2012,2,20,24,33,40,0,330.5,14
1/21/2012,8,9,12,26,43,0,285,10
1/20/2012,5,9,38,41,43,0,346,15
1/19/2012,14,30,31,33,36,330695,241.5,13.5
1/18/2012,13,25,34,35,43,0,357.5,14
1/17/2012,3,23,39,40,41,0,424.5,16.5
1/16/2012,12,18,19,25,40,225000,238,12
1/15/2012,6,9,21,23,25,0,157,8
1/14/2012,4,9,13,16,29,778132,171,9.5
1/13/2012,3,6,9,15,42,0,179.5,10
1/12/2012,14,25,27,31,43,0,339.5,12.5
1/11/2012,4,24,26,32,40,0,325,13.5
1/10/2012,2,19,25,30,42,0,366,13
1/9/2012,4,12,19,21,36,501035,198.5,9.5
1/8/2012,1,9,20,24,35,0,275,11.5
1/7/2012,6,21,22,31,35,0,290.5,12.5
1/6/2012,2,9,13,14,36,0,224,11.5
1/5/2012,21,27,33,39,40,225000,336,14.5
1/4/2012,6,9,12,18,40,0,208,9.5
1/3/2012,18,20,27,30,35,125000,270.5,12
1/2/2012,6,7,22,29,33,330000,249.5,10
1/1/2012,12,15,36,40,41,0,377,16.5
12/31/2013,14,22,25,28,38,500000,322,12
12/30/2013,2,4,13,15,36,0,262,11.5
12/29/2013,2,13,24,29,39,0,211,11
12/28/2013,4,13,18,34,41,0,299.5,14
12/27/2013,9,16,17,25,37,325000,225,11
12/26/2013,17,19,22,38,41,0,358,13.5
12/25/2013,5,17,21,26,35,0,219,10
12/24/2013,5,7,8,10,25,325000,109,6.5
12/23/2013,9,17,25,32,42,0,287,13
12/22/2013,2,4,11,14,38,0,186.5,9.5
12/21/2013,1,11,33,35,37,225000,274,12.5
12/20/2013,13,14,23,31,42,0,312.5,13
12/19/2013,13,17,19,28,35,325000,222,10
12/18/2013,1,2,4,31,34,0,294,11
12/17/2013,2,12,13,34,41,0,363.5,13.5
12/16/2013,5,9,10,12,30,125000,107.5,5.5
12/15/2013,9,15,24,35,43,325000,348.5,13
12/14/2013,2,3,12,17,41,0,200,10
12/13/2013,2,10,22,35,43,0,299,12
12/12/2013,3,10,14,17,25,1000000,158.5,9
12/11/2013,16,29,35,36,40,0,416,14.5
12/10/2013,8,22,30,39,43,0,305.5,13.5
12/9/2013,1,3,5,12,28,0,92.5,6
12/8/2013,13,14,38,40,42,0,395.5,17
12/7/2013,1,11,23,28,33,0,220,9.5
12/6/2013,2,3,10,17,30,325000,198.5,8
12/5/2013,2,4,5,13,41,0,292.5,10
12/4/2013,18,24,25,27,34,0,301.5,11.5
12/3/2013,5,12,28,37,40,125000,351.5,12
12/2/2013,7,10,21,33,43,225000,207,10
12/1/2013,2,6,8,27,42,0,309,10
11/30/2013,4,18,28,35,42,325000,222.5,12.5
11/29/2013,23,26,27,37,43,0,421,15
11/28/2013,1,3,5,29,34,0,211,8
11/27/2013,7,18,25,26,34,225000,277.5,11
11/26/2013,1,5,6,9,40,0,176.5,8.5
11/25/2013,5,19,21,29,38,700001,252,10
11/24/2013,6,29,34,35,42,0,386,15
11/23/2013,1,7,18,25,36,0,263.5,10.5
11/22/2013,5,8,14,21,34,0,186.5,10
11/21/2013,8,26,27,28,37,0,337.5,12
11/20/2013,13,29,40,42,43,700000,340,14
11/19/2013,11,18,23,31,35,0,295,11
11/18/2013,2,3,4,19,21,0,179.5,7.5
11/17/2013,19,20,21,28,35,0,277.5,11.5
11/16/2013,9,17,18,23,33,0,271,9.5
11/15/2013,4,8,18,22,27,225000,136,8
11/14/2013,2,8,20,33,41,0,302.5,13
11/13/2013,8,10,11,23,24,500000,142,8
11/12/2013,7,10,21,34,43,0,312.5,11.5
11/11/2013,2,4,20,27,31,0,208,10.5
11/10/2013,7,31,33,37,43,0,297,14
11/9/2013,1,2,8,17,42,700000,257,10.5
11/8/2013,10,16,30,35,39,0,310,12.5
11/7/2013,3,7,25,28,41,0,294.5,10.5
11/6/2013,5,18,21,22,33,0,219,10
11/5/2013,1,6,9,22,31,0,184.5,8.5
11/4/2013,6,7,23,28,36,225000,312.5,11
11/3/2013,3,8,12,23,34,0,151.5,8
11/2/2013,6,7,12,27,29,325000,166.5,8
11/1/2013,11,16,21,25,40,0,356.5,12
10/31/2013,8,9,31,34,38,0,322,13.5
10/30/2013,10,12,13,29,30,700000,205.5,9
10/29/2013,12,19,29,33,42,0,247.5,11.5
10/28/2013,8,22,26,32,41,0,430.5,13.5
10/27/2013,1,6,13,32,41,0,262.5,14
10/26/2013,6,13,15,22,29,0,213.5,9
10/25/2013,3,14,22,27,28,125000,204.5,9.5
10/24/2013,16,33,38,39,40,225000,388,16.5
10/23/2013,14,27,29,38,43,0,292.5,15.5
10/22/2013,2,3,18,21,31,700000,240.5,10
10/21/2013,4,20,23,26,42,0,309.5,12
10/20/2013,16,24,25,32,33,0,295.5,13.5
10/19/2013,6,10,33,38,41,0,351.5,14.5
10/18/2013,7,12,19,32,36,0,262,10.5
10/17/2013,10,13,19,27,37,325000,228.5,10
10/16/2013,16,18,35,37,38,0,452,15.5
10/15/2013,3,4,18,36,43,0,301.5,14.5
10/14/2013,2,21,34,36,39,1000000,321.5,13.5
10/13/2013,1,5,10,31,38,0,233,10.5
10/12/2013,1,6,11,36,43,0,291.5,12
10/11/2013,5,15,29,33,37,0,301,11.5
10/10/2013,4,16,20,27,33,0,281,11.5
10/9/2013,1,5,31,37,41,0,348.5,15
10/8/2013,20,23,26,36,39,700000,285,13.5
10/7/2013,1,2,9,37,41,0,307,13
10/6/2013,17,18,20,21,42,0,317.5,13.5
10/5/2013,8,11,19,25,38,0,197,9
10/4/2013,9,11,18,38,40,0,344.5,12
10/3/2013,4,7,17,20,27,325000,145,7.5
10/2/2013,5,11,14,26,38,0,278.5,10
10/1/2013,3,4,22,27,36,0,241.5,11
9/30/2013,5,17,20,24,33,125000,213.5,9.5
9/29/2013,1,10,11,14,18,125000,125.5,7.5
9/28/2013,15,18,23,39,41,500000,359.5,13.5
9/27/2013,9,15,30,31,38,0,271.5,12.5
9/26/2013,1,9,11,21,38,0,191.5,9
9/25/2013,6,13,30,37,38,0,283.5,14.5
9/24/2013,4,5,12,25,34,700000,246,9.5
9/23/2013,4,7,9,29,35,0,239,9.5
9/22/2013,7,9,14,28,32,0,197,9
9/21/2013,12,17,30,35,40,0,420,14
9/20/2013,4,24,30,35,43,0,405.5,14.5
9/19/2013,1,3,13,15,32,1000000,218,10.5
